model,MASE,sMAPE,RMSE,MAE,WQL,coverage80,n_excluded_MASE
seasonal_naive_168,1.1130000189395282,11.710609442674638,276.1231684100068,174.20535899718143,0.1279037740468532,0.095252929832369,0
lgbm_global,1.2061901608346095,14.459912432979412,279.84061656675215,190.3457075013705,0.2829330184790103,0.9744474113632992,0
mstl,1.2984055417311884,17.00839534229301,299.2738501011303,229.5344738719469,0.1398012737824299,0.8842975819611334,0
seasonal_naive_24,1.2993002572577383,14.3280843464399,315.0867616278978,207.0600986500519,0.152703844556578,0.044529743361519,0
auto_ets,1.3988426047610918,17.400587971759837,310.21184063389154,223.0976666764532,0.2334771953505441,0.8080922711763833,0
auto_theta,1.752827271265443,19.93071147697719,464.23998976643657,362.7747281616603,0.233730708026703,0.9558707906838746,0
