cutoff,unique_id,MAE,RMSE,sMAPE,MASE,WQL,coverage80
2014-11-26 23:00:00,T1,1.778262734350645,2.948571802833433,16.330642887886867,0.22581564951821143,0.8723475869885262,0.9940476190476191
2014-11-26 23:00:00,T10,50.61270682370448,74.4578307950508,20.24259267199324,0.8791770106149874,0.3006198260585967,0.9761904761904762
2014-11-26 23:00:00,T100,59.3523806907525,93.98717598979314,37.352764439062206,1.2614767239840792,0.35932542875483037,0.8571428571428571
2014-11-26 23:00:00,T101,196.4209885578218,265.77657656531306,19.456441036468554,1.3240874910532408,0.28909189145957176,0.9940476190476191
2014-11-26 23:00:00,T102,19.063574477250135,24.932276700917004,17.95227770604976,1.119254229596873,0.31144763187675595,0.9821428571428571
2014-11-26 23:00:00,T103,28.27327660892488,37.03398770602999,11.813317001556642,1.5139703149530594,0.20029089786656626,0.9761904761904762
2014-11-26 23:00:00,T104,185.81295242062203,239.93396760623148,16.578946139509906,0.5304134774518268,0.30863821414871706,0.9940476190476191
2014-11-26 23:00:00,T105,57.932886411167566,72.94530607851834,10.068993931623552,1.3459869423582267,0.1650122242602685,0.9821428571428571
2014-11-26 23:00:00,T106,185.94281341584315,269.21604634209586,85.40104112359921,1.1481224806889752,1.1246151395811814,0.9940476190476191
2014-11-26 23:00:00,T107,149.03907103486966,233.07173982424644,116.79073824782056,0.9741153293811982,0.7791109928768599,1.0
2014-11-26 23:00:00,T108,43.61577652680137,59.71721452320423,89.40227997918562,1.1092814117350114,0.7955676200254744,1.0
2014-11-26 23:00:00,T109,11.271113278185473,19.593222433686737,10.192078617100247,0.729828274058787,0.29817257794480184,1.0
2014-11-26 23:00:00,T11,13.352707553720355,18.612141821554836,8.100772297754204,0.7739641835649256,0.18381299167264892,0.9702380952380952
2014-11-26 23:00:00,T110,88.77761342306488,131.09931107457444,17.677323797780968,1.3323350823367253,0.33361288044708926,1.0
2014-11-26 23:00:00,T111,18.76253911356435,25.74619882098234,7.303008407127019,0.5693973849668337,0.2580010173664591,1.0
2014-11-26 23:00:00,T112,30.791657450511746,40.601520884493475,8.072830752270308,0.6733529482654447,0.2810082835128333,0.9940476190476191
2014-11-26 23:00:00,T113,182.6813335231772,235.9334292293182,14.275776173465427,0.9614035295142702,0.2732466003056717,1.0
2014-11-26 23:00:00,T114,127.99180920103701,282.5572104200234,33.83386578398202,1.1071345938711121,0.658130376200269,0.9345238095238095
2014-11-26 23:00:00,T115,1.2822436720158565,1.5515614946310932,2.795984101095762,0.8997953001429783,0.09809609684842834,0.9880952380952381
2014-11-26 23:00:00,T116,9.494900924387533,10.8551947460569,11.514401124424149,0.5530415061495463,0.8194867594447036,0.9821428571428571
2014-11-26 23:00:00,T117,119.13440595728012,131.519084272623,19.802284720308112,2.201190289039443,0.29536946287893456,0.9940476190476191
2014-11-26 23:00:00,T118,7.523684682738242,9.38521738076083,2.737134014749401,0.8156867971671278,0.06537487038985039,0.9880952380952381
2014-11-26 23:00:00,T119,10.33084291633032,13.589332477404248,3.0121250335979592,1.2040289525494354,0.06642550670020679,0.9821428571428571
2014-11-26 23:00:00,T12,65.38883683838279,103.96959319925723,17.795443960441972,0.8727284603539922,0.3787652697487284,0.9642857142857143
2014-11-26 23:00:00,T120,209.0538478654748,254.02574969832494,2.113854227639042,0.7162235154397572,0.05349498842307484,0.9761904761904762
2014-11-26 23:00:00,T121,85.39956259898923,97.24270021302235,6.282843895578012,1.922938598370783,0.04660104306549448,0.9940476190476191
2014-11-26 23:00:00,T122,5.404254834082627,6.884465418607466,5.505216677408834,0.910190287845495,0.05172900281310387,0.9940476190476191
2014-11-26 23:00:00,T123,6.799126949380544,11.201888657525767,6.595230550198752,1.7377611074610297,0.09567628196012273,0.9702380952380952
2014-11-26 23:00:00,T124,28.052651711474287,46.032558744753224,7.212046889030331,0.3832101050034424,0.32171820899410075,1.0
2014-11-26 23:00:00,T125,39.62127798383095,59.05288912569947,4.193988753242913,0.3411598520603682,0.16928106242168892,1.0
2014-11-26 23:00:00,T126,14.075145038085626,17.2592073279985,12.107107028874838,2.0588180252465103,0.15775565993062338,0.9880952380952381
2014-11-26 23:00:00,T127,81.86644310453406,125.06905927639988,16.054163389884803,0.4511873828026859,0.4492254351674208,1.0
2014-11-26 23:00:00,T128,44.443830253547134,55.89930640685223,13.79098852404938,0.6778442824984496,0.24991796540180292,0.9642857142857143
2014-11-26 23:00:00,T129,630.5076063025127,780.1990142870268,5.818816608041288,0.5508006660086152,0.14391099577137872,0.9940476190476191
2014-11-26 23:00:00,T13,27.168313149173628,39.31030090474356,12.43471752221352,0.9345102157049872,0.20821320417804115,0.9940476190476191
2014-11-26 23:00:00,T130,70.2601488108045,91.91009957453447,20.701214261720587,0.6123140486677034,0.30855921102459605,0.9821428571428571
2014-11-26 23:00:00,T131,56.69078563621291,85.85887521176073,33.16373806935746,0.6015557157829333,0.4237660994560243,0.9940476190476191
2014-11-26 23:00:00,T132,528.2337913938202,646.6819430279056,8.354151570301978,0.8714736614724153,0.10992671025686268,0.9523809523809523
2014-11-26 23:00:00,T133,201.1996013461691,258.2348963395502,20.269777207782642,0.6225048186030258,0.30564163604901945,0.9642857142857143
2014-11-26 23:00:00,T134,454.0839076194299,600.6876165741926,4.99582236939334,0.4807707672158581,0.09638492110505628,0.9583333333333334
